AirBnB ID,Bedrooms,Bathrooms,Revenue,Occupancy Rate,ADR,Days Available,Lat,Lng
,2,2.5,814817.35,66.22,5468.57,225,25.11771,55.11321
,2,3.5,776553.59,69.31,5546.81,202,25.11939,55.10992
1041871521054454060,6,6.5,775962.31,62.62,6015.21,206,25.12852,55.13139
1035346817397986983,7,6,759906.15,55.1,7036.17,196,25.12804,55.13585
1161389887280809853,4,4,757019.56,68.8,4136.72,266,25.11036,55.12168
1354834462785339146,7,6.5,750952.6,67.37,5866.82,190,25.1275158,55.13548623
,2,2.5,748624.23,79.34,4429.73,213,25.10904,55.14489
1144972440880912903,4,4,736787.77,78.75,2923.76,320,25.1107,55.13625
1036678775573363953,6,6.5,688229.99,49.3,6492.74,215,25.11973,55.12127
52545922,3,3.5,687352.26,55.19,4613.1,270,25.1040454,55.14843111
843855629541418263,5,5.5,680951.09,57.49,4795.43,247,25.12587,55.13011
581643252219572637,3,3.5,670969.24,59.18,3106.34,365,25.1039,55.14972
1142432302520416572,4,4,667109.44,78.2,3207.26,266,25.11944,55.12957
863594355293917578,6,5,661461.14,48.28,5249.69,261,25.12444,55.13148
1249766843684410513,4,4,641468.06,56.15,4682.25,244,25.11627389,55.12350579
35561050,4,4.5,627196.72,55.08,3503.89,325,25.12940788,55.13474655
1384649295138743749,7,7,614232.8,60.75,5435.69,186,25.11829781,55.12545866
802661798573518434,7,6.5,558851.52,75.98,3605.49,204,25.12361,55.1396
