Airbnb ID,Airbnb URL,Revenue Potential,Days Available,Annual Revenue,Occupancy,Daily Rate,Bedrooms
1114934004603569716,https://www.airbnb.com/rooms/1114934004603569716,146.8k,343,146.8k,72,591.9,
1120840771948811339,https://www.airbnb.com/rooms/1120840771948811339,194k,271,146.8k,87,621.9,
1157178731564920135,https://www.airbnb.com/rooms/1157178731564920135,163.6k,286,146.6k,88,584.1,
1488330305902266785,https://www.airbnb.com/rooms/1488330305902266785,188.9k,278,146.5k,58,904,
1257092647112895765,https://www.airbnb.com/rooms/1257092647112895765,146.1k,347,146.1k,79,531.3,
746783395898880314,https://www.airbnb.com/rooms/746783395898880314,209k,227,144.9k,80,800.6,
1060590631038514929,https://www.airbnb.com/rooms/1060590631038514929,178.9k,297,144.9k,57,857.2,
1290411912068991279,https://www.airbnb.com/rooms/1290411912068991279,144.9k,305,144.6k,72,657.1,
1288923896938646292,https://www.airbnb.com/rooms/1288923896938646292,183.7k,221,144.5k,62,1k,
1074512919515774132,https://www.airbnb.com/rooms/1074512919515774132,165.5k,294,144.5k,68,722.4,
1160723877905157422,https://www.airbnb.com/rooms/1160723877905157422,287.2k,182,144k,60,1.3k,
804854767799940565,https://www.airbnb.com/rooms/804854767799940565,245.4k,237,143.9k,86,705.5,
48099333,https://www.airbnb.com/rooms/48099333,218.2k,206,143.9k,68,1k,
1027301059755107237,https://www.airbnb.com/rooms/1027301059755107237,185.9k,301,143.5k,79,600.4,
1295406915623634012,https://www.airbnb.com/rooms/1295406915623634012,143.5k,196,143.5k,57,1.3k,
1252676981520410753,https://www.airbnb.com/rooms/1252676981520410753,151k,318,143.4k,87,519.6,
603941665973608185,https://www.airbnb.com/rooms/603941665973608185,207.7k,221,143.4k,76,848.4,
1128860417099963984,https://www.airbnb.com/rooms/1128860417099963984,200.9k,266,143.2k,76,705.5,
978094366675025805,https://www.airbnb.com/rooms/978094366675025805,294.8k,200,143k,79,904.9,
